Name,Id,TotalNumRide,TotalNumGetOff,NumRideByCard,NumGetOffByCard,NumRideByCash,AveNumGetOff
송해교회,43769,99,329,97,329,2,13
송해면사무소,43708,26,144,25,144,1,5
송해면사무소,43809,109,48,105,48,4,5
송해삼거리,43386,434,58,411,58,23,15
송해삼거리,43819,141,477,132,477,9,19
송해초등학교,43807,3,147,3,147,0,4
송해초등학교,43820,102,17,98,17,4,3
송현시장.수도국산달동네박물관,36019,5944,5080,5616,5080,328,355
송현시장.수도국산달동네박물관,36020,5596,22029,5402,22029,194,891
송현시장.수도국산달동네박물관,36025,64,407,58,407,6,15
송현아파트,36065,6366,3546,6195,3546,171,319
송현아파트,36067,2253,5082,2188,5082,65,236
송현주공아파트,36073,837,3112,821,3112,16,127
송현주공아파트,36080,12650,5806,12268,5806,382,595
송현주공아파트후문,36162,592,2881,585,2881,7,112
쇠골큰말,89318,44,15,44,15,0,1
쇠골큰말,89321,93,18,86,18,7,3
수곡(월곳리),43191,61,0,57,0,4,1
수곡(월곳리),43620,0,35,0,35,0,1
수광티티아이,90215,26,43,26,43,0,2
수도군수지원단(장애인복지관),40825,5911,1629,5789,1629,122,243
수도군수지원단(장애인복지관),40826,59,2262,45,2262,14,74
수림공원,39347,2028,721,1966,721,62,88
수림공원,39351,643,1808,632,1808,11,79
수변로삼거리,40367,968,532,936,532,32,48
수변로삼거리,40370,2553,4337,2524,4337,29,222
수봉공원,37289,2382,1264,2332,1264,50,117
수봉공원,37569,1090,3815,1075,3815,15,158
수봉공원.인천수봉문화회관입구,37362,13957,6853,13501,6853,456,671
수봉공원.인천수봉문화회관입구,37369,9095,14695,8880,14695,215,767
수봉마을쉼터,37570,3625,3020,3423,3020,202,214
수봉마을쉼터,37571,2377,1810,2326,1810,51,135
수부촌,43041,166,201,163,201,3,11
수산동,39175,405,936,395,936,10,43
수산동,39176,496,652,476,652,20,37
수양관,43245,31,79,31,79,0,3
수양관,43645,58,9,51,9,7,2
수인곡물시장,35134,2530,2732,2430,2732,100,169
수정제입구,90290,4,2,4,2,0,0
수촌,43111,108,2,101,2,7,3
수촌,43358,3,87,3,87,0,2
수출산업단지6공단입구,40009,3692,4925,3615,4925,77,277
수출산업단지6공단입구,40010,2424,2632,2400,2632,24,163
수행마을.홈플러스,80074,658,5,656,5,2,21
수행마을.홈플러스,80075,42,499,42,499,0,17
수현마을,39487,2913,4511,2847,4511,66,239
수현마을,39488,8173,5591,7917,5591,256,444
수협,43059,0,3,0,3,0,0
수협,43060,178,1126,171,1126,7,42
수협,43062,3236,10061,3139,10061,97,428
수협(인천해양센터),35080,3647,118,3485,118,162,121
수협(인천해양센터),35081,117,5940,114,5940,3,195
순복음교회,37253,9575,28440,9280,28440,295,1226
순복음교회,39181,20205,8518,19435,8518,770,926
순복음교회,40661,12462,6341,12359,6341,103,606
순천향대학병원.부명고,55037,8029,993,7882,993,147,291
숭덕여중고입구,39461,13942,25526,13788,25526,154,1273
숭덕여중고입구,39463,17199,13370,16811,13370,388,986
숭덕여중고입구,39466,7793,1327,7684,1327,109,294
숭뢰2리,43421,97,231,87,231,10,10
숭뢰2리,43704,191,34,172,34,19,7
숭보사입구,40851,187,43,180,43,7,7
숭보사입구,40918,8,79,2,79,6,2
숭의1.3동(극동아파트),37328,1022,1362,968,1362,54,76
숭의1.3동(극동아파트),37337,1104,1341,1043,1341,61,78
숭의2동행정복지센터,37563,1714,2078,1690,2078,24,122
숭의교회,37269,18148,11534,17701,11534,447,957
숭의교회,37271,13829,15253,13392,15253,437,938
숭의로터리,37265,6329,18892,6117,18892,212,813
숭의로터리,37266,16875,5296,16552,5296,323,715
숭의로터리,37273,19457,9443,19006,9443,451,932
숭의로터리.도원체육관,37276,9608,14716,9260,14716,348,784
숭의목공예마을앞,37313,9024,8248,8747,8248,277,557
숭의목공예마을앞,37315,5712,6544,5585,6544,127,395
숭의박문아파트,37353,2584,3846,2552,3846,32,207
숭의박문아파트,37354,3592,2285,3480,2285,112,189
숭의보건지소,37532,14968,3864,14708,3864,260,607
숭의역(1번출구),37510,45555,22082,44898,22082,657,2181
숭의역(2번출구),37211,27934,35746,27684,35746,250,2054
숭의역(3번출구),35133,1096,3164,1048,3164,48,137
숭의역(4번출구),35135,3402,2495,3320,2495,82,190
숭의초등학교,37296,993,684,940,684,53,54
숭의초등학교,37308,1179,3307,1151,3307,28,144
숭의초등학교입구,37287,1508,1733,1447,1733,61,104
쉐보레인천서비스,40433,1607,4331,1580,4331,27,191
쉐보레출고사무소,89160,1945,14,1886,14,59,63
쉴낙원인천장례식장,41458,1184,2023,1143,2023,41,103
스카이시티자이.화성파크드림,35650,2155,6304,2109,6304,46,272
스타파이브입구,35428,279,39,270,39,9,10
스타파이브입구,35429,21,301,21,301,0,10
스태츠칩팩코리아,35641,5,401,5,401,0,13
스태츠칩팩코리아,35642,323,5,312,5,11,10
스틸랜드,70228,159,551,153,551,6,22
스틸랜드,70229,432,163,431,163,1,19
스포월드골프연습장,42439,83,198,83,198,0,9
스포월드골프연습장,42440,22,128,22,128,0,4
승기천,39169,1213,7088,1177,7088,36,267
승기천,39170,940,5033,910,5033,30,192
시대아파트,38340,18494,13764,18180,13764,314,1040
시리미,43330,60,58,53,58,7,3
시리미,43631,14,1,14,1,0,0
